battle,timestamp,name,user,team,action,tileId,attacker,defender,ipUsed,bipUsed,ipApplied,directPlay
125,1757967994,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16830,0,34502,true
125,1757968089,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,15840,0,32472,true
125,1757968183,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,18954,true
125,1757968194,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,15510,0,31796,true
125,1757968300,T,17cb85fa5241ea6db00a23797b789399,bb,DEFEND,webified-80,cr,ci,16170,0,30561,true
125,1757968539,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,16232,true
125,1757968767,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,15066,true
125,1757968771,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-70,cr,ci,15300,1530,26087,false
125,1757968803,JMakintaer,50fbe2fcdd51f3beb0f90ea94783bb13,mt,DEFEND,webified-70,cr,ci,0,1530,2326,false
125,1757968840,PalesFree,3e0af8055f871fce44ca882c2fb6b97f,ps,DEFEND,webified-75,cr,ci,10125,0,18428,true
125,1757969790,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10440,0,10858,true
125,1757969791,aliurmir,4eb1451ad70127d5c6eb5a1fcd66a658,dc,DEFEND,webified-68,cr,ci,52912,47088,114000,false
125,1757969792,aliurmir,4eb1451ad70127d5c6eb5a1fcd66a658,dc,DEFEND,webified-68,cr,ci,0,100000,114000,false
125,1757969794,aliurmir,4eb1451ad70127d5c6eb5a1fcd66a658,dc,DEFEND,webified-68,cr,ci,0,25000,28500,false
125,1757970090,UFO,6c207c6b5dddbc8d9b26e072e948dcb6,co,DEFEND,webified-79,ci,cr,5280,0,6864,true
125,1757970244,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,15000,0,32250,true
125,1757970287,T,17cb85fa5241ea6db00a23797b789399,bb,ATTACK,webified-79,ci,cr,100000,0,245000,false
125,1757970290,T,17cb85fa5241ea6db00a23797b789399,bb,ATTACK,webified-79,ci,cr,100000,0,245000,false
125,1757970292,T,17cb85fa5241ea6db00a23797b789399,bb,ATTACK,webified-79,ci,cr,64516,31671,235658,false
125,1757970476,Belle,09b7a545951f1fa4006fd7e06d56d823,fg,DEFEND,webified-40,cr,ci,0,100000,215000,false
125,1757970478,Belle,09b7a545951f1fa4006fd7e06d56d823,fg,DEFEND,webified-40,cr,ci,0,100000,215000,false
125,1757970549,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10080,0,21672,true
125,1757970554,UFO,6c207c6b5dddbc8d9b26e072e948dcb6,co,DEFEND,webified-79,ci,cr,2640,0,3432,true
125,1757970686,Krendelek,52ef0860212e4e0f5a4c303d5549a767,mt,ATTACK,webified-69,ci,cr,33280,0,78208,true
125,1757970737,Krendelek,52ef0860212e4e0f5a4c303d5549a767,mt,ATTACK,webified-69,ci,cr,33280,0,78208,false
125,1757970744,UFO,6c207c6b5dddbc8d9b26e072e948dcb6,co,DEFEND,webified-79,ci,cr,2640,0,3168,true
125,1757970795,UFO,6c207c6b5dddbc8d9b26e072e948dcb6,co,ATTACK,webified-79,ci,cr,58053,0,136425,false
125,1757970799,UFO,6c207c6b5dddbc8d9b26e072e948dcb6,co,ATTACK,webified-79,ci,cr,0,5805,13642,false
125,1757971135,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10440,0,21402,true
125,1757971291,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10440,0,20358,true
125,1757971406,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,8640,0,16848,true
125,1757971550,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,9720,0,18954,true
125,1757971644,KingTIMMY,03056648bd5c2af2b96a59fbc27c7a72,fg,DEFEND,webified-37,cr,ci,37916,62084,205000,false
125,1757971647,KingTIMMY,03056648bd5c2af2b96a59fbc27c7a72,fg,DEFEND,webified-37,cr,ci,0,100000,205000,false
125,1757971649,KingTIMMY,03056648bd5c2af2b96a59fbc27c7a72,fg,DEFEND,webified-37,cr,ci,0,100000,205000,false
125,1757971650,KingTIMMY,03056648bd5c2af2b96a59fbc27c7a72,fg,DEFEND,webified-37,cr,ci,0,100000,205000,false
125,1757971651,KingTIMMY,03056648bd5c2af2b96a59fbc27c7a72,fg,DEFEND,webified-37,cr,ci,0,100000,205000,false
125,1757971652,KingTIMMY,03056648bd5c2af2b96a59fbc27c7a72,fg,DEFEND,webified-37,cr,ci,0,66708,136751,false
125,1757971878,Monch,bb0fde9aa23633533576d2d5eb4d605c,co,ATTACK,webified-87,ci,cr,10440,0,18688,true
